                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1251,                0.70273,                0.84926,                0.69677,                0.14334,                0.24834,                0.13193,                 1.4968,                  1.323,                 1.0915,             0.00027507,             0.00027507,             0.00027507
                      2,                 1.3085,                0.79727,                0.87515,                0.49034,                0.17794,                0.21212,                0.10636,                 1.6298,                 1.3495,                 1.1306,             0.00049802,             0.00049802,             0.00049802
                      3,                 1.4342,                0.85837,                 0.8981,                0.44911,                0.16024,                0.17875,                0.09142,                 1.7192,                 1.3765,                 1.1124,             0.00066598,             0.00066598,             0.00066598
                      4,                 1.4171,                0.84318,                0.89934,                0.74791,                0.15913,                0.16091,                0.09374,                 1.5911,                 1.2914,                 1.1463,              0.0005856,              0.0005856,              0.0005856
                      5,                 1.3817,                0.80614,                0.88768,                0.69811,                0.13922,                0.20526,                0.10543,                 1.5613,                 1.4399,                 1.1337,             0.00050313,             0.00050313,             0.00050313
                      6,                 1.3452,                0.77688,                0.87535,                0.69345,                0.14956,                0.15838,                0.10346,                 1.5235,                 1.3192,                 1.1061,             0.00042066,             0.00042066,             0.00042066
                      7,                 1.3112,                0.75018,                0.87438,                0.68851,                0.14808,                0.16773,                0.10605,                 1.5186,                 1.3562,                 1.0933,              0.0003382,              0.0003382,              0.0003382
                      8,                 1.2893,                0.73045,                0.87193,                0.70028,                0.15399,                0.17643,                 0.1012,                 1.5419,                 1.3144,                 1.1028,             0.00025573,             0.00025573,             0.00025573
                      9,                  1.255,                0.71169,                0.86526,                0.69956,                 0.1505,                0.16993,                0.10319,                 1.5476,                 1.3124,                 1.0992,             0.00017326,             0.00017326,             0.00017326
                     10,                 1.2316,                0.69718,                0.85758,                 0.6956,                0.15251,                0.16576,                0.10075,                 1.5886,                 1.2911,                 1.1094,             9.0797e-05,             9.0797e-05,             9.0797e-05
